dataset,NSGA2,SPEA2,PACO
users1.json,15.26,9.45,8.35
users2.json,20.58,14.61,9.90
users3.json,17.06,17.74,9.13
users4.json,17.39,15.71,9.97
users5.json,16.77,16.13,10.61
