dataset,NSGA2,SPEA2,PACO
users1.json,230.24,222.41,822.12
users2.json,507.75,640.08,1522.50
users3.json,939.43,1488.88,2411.68
users4.json,2403.25,2635.95,3475.50
users5.json,5208.35,5264.89,3124.95
