Dataset,Algoritmo,Media,Mediana,Desv.Est,Min,Max,CV(%)
users1,NSGA-II,0.49097255387582095,0.5141154427888588,0.1340407426431977,0.2442531486087562,0.7053348247077993,27.301066339667514
users1,SPEA2,0.38224469004795936,0.3768914456431929,0.17131505539118086,0.0139393884559361,0.6685371990107789,44.81816486965099
users1,PACO,0.2534906024423674,0.252187761886299,0.04600665121007063,0.1642384443359093,0.3472492555512313,18.149253174200222
users2,NSGA-II,0.36685431604576096,0.3615589464829383,0.1305314128083994,0.143634687050545,0.769774787824792,35.58126675879617
users2,SPEA2,0.33751228098386055,0.3124996833533586,0.17381234532902207,0.0077117701598596,0.7519695117943395,51.49808025425112
users2,PACO,0.1837456732676285,0.1759687176307675,0.035678802386821966,0.1361377581658481,0.253200397041376,19.417492533201163
users3,NSGA-II,0.24444024748162504,0.2209975277718103,0.10909498467098688,0.0833124888937965,0.5095505466846213,44.63053273548486
users3,SPEA2,0.346090759818583,0.3446969093451815,0.18412306188225705,0.0403632837418303,0.7863648362820371,53.200802581025954
users3,PACO,0.21571914004211976,0.2169134302014039,0.027737129545489292,0.1630539009509172,0.2765103684715468,12.857982625034358
users4,NSGA-II,0.2621472169938729,0.2223022176903032,0.13521969950966556,0.1051321191842246,0.7558874661419956,51.58158879589633
users4,SPEA2,0.22056285277703266,0.2301724215022326,0.12861595115488061,0.0442826350332534,0.5900434194255835,58.31260773766772
users4,PACO,0.17529038690344262,0.175831386233843,0.01501779748839928,0.1493224950059098,0.2000689206106529,8.567382247077656
users5,NSGA-II,0.49579311811023463,0.4434106297905232,0.1535732028286811,0.3057656772557801,0.9480546723739536,30.975259078633606
users5,SPEA2,0.3362036336747705,0.3426984567096779,0.13898378703830339,0.0293966155999206,0.6689713643048719,41.339168622059134
users5,PACO,0.20500813894312392,0.2051333167033951,0.016998348131784746,0.1728164151159449,0.2444197537986889,8.29154794507971
