dataset,hypervolume,num_pareto_points,mean_execution_time,mean_iterations,mean_pareto_size,num_runs
users1.json,0.4662705226196216,86,673.95798163414,53.2,17.2,5
users2.json,0.48348417724686243,85,666.143570947647,33.2,17.0,5
users3.json,0.41484887878639237,79,894.736803150177,28.2,15.8,5
users4.json,0.471618549138476,70,1482.9739373683929,26.8,14.0,5
users5.json,0.44065909053182295,67,2823.3723378181458,31.4,13.4,5
