dataset,hypervolume,num_pareto_points,mean_execution_time,mean_generations,mean_pareto_size,num_runs
users1.json,0.909595805146671,21,285.23066153526304,84.2,16.6,5
users2.json,0.9945865941942611,23,704.9685477256775,118.0,18.2,5
users3.json,0.8854744522533233,25,1381.9539940357208,126.8,24.6,5
users4.json,0.859601657129866,18,3403.4225240707397,145.2,18.0,5
users5.json,0.8035025048105787,20,6091.475147151947,150.8,18.8,5
