Dataset,Algoritmo,Configuracion,Ejecucion,Hypervolume,Tiempo,Generaciones_Iteraciones,Tamaño_Pareto,Num_Puntos_Pareto,Costo_Medio,Minutos_Medios
users2.json,NSGA-II,uniform_inversion_high_mutation,16,0.35507354145990666,534.2761561870575,129,19,19,2268.214736842105,836837.9463157911
users2.json,NSGA-II,uniform_inversion_high_mutation,17,0.3908983476032924,610.4361834526062,157,18,18,2178.2305555555554,821907.532222223
users2.json,NSGA-II,uniform_inversion_high_mutation,18,0.2669228222912424,583.889048576355,140,18,18,2304.748888888889,812609.9627777787
users2.json,NSGA-II,uniform_inversion_high_mutation,19,0.2634115801460235,436.5938503742218,107,14,14,2339.1699999999996,821323.2750000015
users2.json,NSGA-II,uniform_inversion_high_mutation,20,0.4206097276581563,454.0716323852539,112,22,22,2205.690909090909,827469.1604545455
users2.json,NSGA-II,uniform_inversion_high_mutation,21,0.3814222679877846,470.12288069725037,113,22,22,2244.5886363636364,827743.9613636364
users2.json,NSGA-II,uniform_inversion_high_mutation,22,0.5526508243313726,531.2878203392029,130,28,28,2076.0239285714283,849191.3146428583
users2.json,NSGA-II,uniform_inversion_high_mutation,23,0.5856759506306013,561.5087356567383,138,18,18,1967.8327777777777,841474.0933333342
users2.json,NSGA-II,uniform_inversion_high_mutation,24,0.32103557341985184,357.95725750923157,84,21,21,2282.690476190476,822805.7442857139
users2.json,NSGA-II,uniform_inversion_high_mutation,25,0.5572528537545535,719.3503651618958,163,32,32,2106.9578125,867364.8500000017
users2.json,NSGA-II,uniform_inversion_high_mutation,26,0.2240629268718175,293.09723925590515,71,20,20,2351.025,789289.8160000021
users2.json,NSGA-II,uniform_inversion_high_mutation,27,0.36635827921585384,462.479861497879,108,20,20,2290.354,838566.2354999993
users2.json,NSGA-II,uniform_inversion_high_mutation,28,0.46354924320632446,607.8132977485657,140,31,31,2112.9209677419353,823221.8325806462
users2.json,NSGA-II,uniform_inversion_high_mutation,29,0.47200376405365263,818.4958221912384,183,12,12,2162.4308333333333,860333.1766666673
users2.json,NSGA-II,uniform_inversion_high_mutation,30,0.5177304637512992,554.0865159034729,130,15,15,2095.9946666666665,853215.2713333339
users2.json,NSGA-II,uniform_inversion_high_mutation,31,0.33390857177120037,444.0078911781311,107,17,17,2234.0288235294115,815802.801764707
users3.json,NSGA-II,uniform_inversion_high_mutation,1,0.18959915939227856,576.0930528640747,87,18,18,3377.075555555556,1240668.4016666652
users3.json,NSGA-II,uniform_inversion_high_mutation,2,0.36993777933321687,954.7230751514435,139,18,18,3187.084444444444,1299914.6583333323
users3.json,NSGA-II,uniform_inversion_high_mutation,3,0.21812851900003438,522.6304523944855,76,14,14,3340.909285714286,1258730.5628571413
users3.json,NSGA-II,uniform_inversion_high_mutation,4,0.2660164206273776,704.2025532722473,102,21,21,3273.8204761904767,1251384.179523809
users3.json,NSGA-II,uniform_inversion_high_mutation,5,0.492801332326805,1631.8280475139618,217,20,20,3010.9525000000003,1306220.4470000002
