dataset,config,num_points,num_pareto_points,num_runs,hypervolume,mean_execution_time,std_execution_time,mean_generations,std_generations,mean_pareto_size,std_pareto_size
users1.json,npoint_inversion_high_all,84,17,5,0.9328683067970509,348.7423499107361,85.64182979925931,104.2,26.278508329050947,16.8,2.9257477676655586
users1.json,uniform_inversion_high_mutation,83,21,5,0.909595805146671,285.23066153526304,48.24200830750866,84.2,13.614697940094006,16.6,4.029888335921977
users1.json,npoint_inversion_low_mutation,71,19,5,0.5157477751524907,285.6892868518829,58.78240335652643,83.6,16.81190054693401,14.2,3.54400902933387
users1.json,uniform_reset_high_crossover,126,28,5,0.4200508808013834,146.26536960601806,23.855177151210658,43.2,6.8527366796047255,25.2,9.064215354899728
users1.json,uniform_reset_low_mutation,107,29,5,0.4167876286316442,182.59553709030152,30.91763179628693,52.6,9.13454979733539,21.4,4.673328578219168
users1.json,npoint_reset_low_crossover,71,13,5,0.35056926657095644,209.48084082603455,82.2567389103905,62.6,24.67873578609731,14.2,5.878775382679627
users2.json,uniform_inversion_high_mutation,91,23,5,0.9945865941942611,704.9685477256775,177.01769874222668,118.0,27.691153822114384,18.2,6.554387843269576
users2.json,npoint_inversion_high_all,156,23,5,0.5821971060499305,916.4777593135834,219.83789423126126,147.2,34.07286310247496,31.2,9.303762679690404
users2.json,uniform_reset_high_crossover,164,49,5,0.4941779868112729,425.4802959918976,75.44498763431861,74.0,13.638181696985855,32.8,11.391224692718513
users2.json,uniform_reset_low_mutation,124,28,5,0.45693945181902323,389.14647951126096,85.66891744877611,67.6,14.554724318928201,24.8,3.709447398198282
users2.json,npoint_inversion_low_mutation,145,30,5,0.4325127483809832,670.1808076858521,262.10692038831525,113.8,44.296275238444146,29.0,5.215361924162119
users2.json,npoint_reset_low_crossover,112,35,5,0.24116389471783986,337.68718376159666,119.2911673247746,58.4,20.567936211491908,22.4,5.885575587824865
users3.json,uniform_inversion_high_mutation,123,25,5,0.8854744522533233,1381.9539940357208,285.9284589999195,126.8,25.388186229031803,24.6,5.535341001239218
users3.json,npoint_inversion_high_all,152,33,5,0.8183854123896577,1710.524791765213,1070.4503606730673,149.2,97.5303029832267,30.4,9.499473669630333
users3.json,uniform_reset_high_crossover,158,39,5,0.5209033893887094,816.3919642925263,55.32283832171341,76.8,4.791659420284375,31.6,1.2000000000000002
users3.json,uniform_reset_low_mutation,161,50,5,0.49458789365563816,986.9123028278351,170.20614595207329,94.8,15.68948692596415,32.2,8.704022058795578
users3.json,npoint_inversion_low_mutation,133,29,5,0.38576431933508015,1074.1342356204987,569.7340640079992,96.0,50.465830023888444,26.6,6.468384651518492
users3.json,npoint_reset_low_crossover,91,14,5,0.24361882581141833,667.3074897766113,183.3990145962551,61.0,16.57709262808168,18.2,4.955804677345547
users4.json,uniform_inversion_high_mutation,90,18,5,0.859601657129866,3403.4225240707397,1575.0851052931193,145.2,59.68383365702978,18.0,6.164414002968976
users4.json,uniform_reset_high_crossover,171,48,5,0.48059448017563194,2419.568960094452,397.9699106066876,97.2,15.587174214718972,34.2,6.368673331236263
users4.json,npoint_inversion_high_all,166,36,5,0.43824956649253044,5221.876931524277,1504.3698141147331,219.4,63.11449912658739,33.2,6.4621977685614045
users4.json,uniform_reset_low_mutation,119,28,5,0.43250666643271407,2002.851220035553,453.19835590318996,98.2,17.543089807670714,23.8,2.9257477676655586
users4.json,npoint_inversion_low_mutation,156,41,5,0.37059357669058485,2703.1597278594973,2284.358958887399,119.4,100.53576478049987,31.2,15.651198037211083
users4.json,npoint_reset_low_crossover,122,27,5,0.22627911822308203,1818.7039474964142,599.2753347745977,84.2,28.763866221354874,24.4,4.31740662898458
users5.json,uniform_inversion_high_mutation,94,20,5,0.8035025048105787,6091.475147151947,1184.1222643976864,150.8,28.315366852647344,18.8,0.7483314773547883
users5.json,uniform_reset_high_crossover,132,40,5,0.4805877457900778,3476.8191112995146,902.2594681722944,91.0,23.220680437919988,26.4,9.090654541890808
users5.json,uniform_reset_low_mutation,104,34,5,0.4687234973511253,3760.053081083298,1099.6024595867239,101.4,30.447331574376104,20.8,9.19565114605812
users5.json,npoint_inversion_high_all,227,55,5,0.3254048564843376,7834.803725242615,3181.448217538822,173.0,67.0253683316996,45.4,9.457272334029511
users5.json,npoint_inversion_low_mutation,180,49,5,0.29380085017564667,5808.8738158226015,2798.102256081607,137.4,67.19999999999999,36.0,12.806248474865697
users5.json,npoint_reset_low_crossover,126,37,5,0.19217601962393763,3001.226822280884,1070.3120709469852,73.2,26.430285658690863,25.2,2.7856776554368237
