dataset,config,num_pareto_points,num_runs,hypervolume,mean_execution_time,std_execution_time,mean_iterations,std_iterations,mean_pareto_size,std_pareto_size
users1.json,balanced_original,47,5,0.8101697198850732,359.44510850906374,113.12962272258139,27.0,8.294576541331088,9.4,0.48989794855663565
users1.json,slow_evaporation_exploitative,46,5,0.802586272177813,317.5936508655548,140.9744472250083,25.0,11.40175425099138,9.2,3.4871191548325386
users1.json,high_heuristic_influence,27,5,0.7802961731957425,223.5671558380127,45.97458681755946,17.8,3.655133376499413,5.4,2.5768197453450252
users1.json,fast_evaporation_explorative,52,5,0.7769285051294816,268.40447425842285,49.225297348651544,19.8,3.4871191548325386,10.4,2.5768197453450252
users1.json,high_pheromone_influence,86,5,0.6241821849186324,673.95798163414,302.0390377567039,53.2,23.827714955488283,17.2,2.9257477676655586
users1.json,minimal_guidance,48,5,0.3449965310227695,1025.2853389263153,129.18016133410208,73.8,9.579144011862438,9.6,2.727636339397171
users2.json,slow_evaporation_exploitative,36,5,0.851556079327977,349.4212830066681,84.80029921702759,17.6,4.2708313008125245,7.2,1.7204650534085253
users2.json,high_heuristic_influence,21,5,0.7259145868599681,281.5305958271027,8.045089057623478,14.2,0.4,4.2,1.469693845669907
users2.json,high_pheromone_influence,85,5,0.7001214862149807,666.143570947647,182.22360891201345,33.2,9.064215354899728,17.0,3.5777087639996634
users2.json,fast_evaporation_explorative,30,5,0.6812493231026426,337.9988739490509,33.0816994520814,17.0,1.6733200530681511,6.0,1.4142135623730951
users2.json,balanced_original,19,5,0.6270407800431783,307.73887782096864,14.883603674075692,14.4,0.48989794855663565,3.8,1.7204650534085253
users2.json,minimal_guidance,40,5,0.36279207493023324,1459.0992313861848,215.09338778574644,72.0,10.601886624558858,8.0,3.22490309931942
users3.json,high_pheromone_influence,79,5,0.947332767029974,894.736803150177,358.20505358125695,28.2,11.249888888340186,15.8,4.791659420284375
users3.json,high_heuristic_influence,17,5,0.922723348984578,442.98954157829286,4.190906405174624,14.0,0.0,3.4,0.4898979485566356
users3.json,slow_evaporation_exploitative,24,5,0.8568854071938319,461.9018894195557,14.720385120048466,14.6,0.48989794855663565,4.8,1.16619037896906
users3.json,fast_evaporation_explorative,30,5,0.7616088299643914,473.87160577774046,0.8236091479104993,15.0,0.0,6.0,1.4142135623730951
users3.json,balanced_original,17,5,0.713109411919794,440.9059491157532,0.19132424682061716,14.0,0.0,3.4,1.019803902718557
users3.json,minimal_guidance,49,5,0.496640077345077,1817.879683303833,375.7930689318892,56.4,11.637869220780924,9.8,3.059411708155671
users4.json,high_pheromone_influence,70,5,0.9131324284067422,1482.9739373683929,343.60727828242574,26.8,6.241794613730894,14.0,2.0
users4.json,high_heuristic_influence,22,5,0.8930054997873629,924.217869758606,97.72264093555596,14.0,0.0,4.4,0.48989794855663565
users4.json,balanced_original,23,5,0.7562553661117973,771.5040549278259,0.7165307650367707,14.0,0.0,4.6,1.2
users4.json,fast_evaporation_explorative,28,5,0.7467019434371696,1132.4921877861022,237.750852321239,15.0,0.0,5.6,1.624807680927192
users4.json,slow_evaporation_exploitative,21,5,0.6621412736098868,1000.1408990859985,290.10125363833595,14.0,0.0,4.2,0.7483314773547882
users4.json,minimal_guidance,38,5,0.42620183277173324,3501.1461402893065,390.1720189071313,58.0,6.260990336999411,7.6,2.5768197453450252
users5.json,high_pheromone_influence,67,5,0.9376567892309151,2823.3723378181458,1086.4867131045178,31.4,12.142487389328432,13.4,2.5768197453450252
users5.json,high_heuristic_influence,20,5,0.9179045221441625,1250.468512916565,2.7573761104379457,14.0,0.0,4.0,0.8944271909999159
users5.json,fast_evaporation_explorative,37,5,0.8610746580648557,1392.3049575805665,32.14429245524415,15.2,0.4,7.4,1.0198039027185568
users5.json,balanced_original,17,5,0.7427107219174801,1321.001498413086,63.058347653444386,14.0,0.0,3.4,0.4898979485566356
users5.json,slow_evaporation_exploitative,18,5,0.6969861190852414,1252.889100074768,1.4724460694655754,14.0,0.0,3.6,0.4898979485566356
users5.json,minimal_guidance,42,5,0.4715235848172329,7036.198023653031,1261.2878592526947,72.0,13.099618315050252,8.4,3.006659275674582
