Dataset,Algoritmo,Media,Mediana,Desv.Est,Min,Max,CV(%)
users1,NSGA-II,0.5274018299010119,0.5513689727578365,0.13659052067002808,0.2818489205014749,0.7489457869185732,25.898757441866433
users1,SPEA2,0.4054935342477062,0.3989952698346283,0.17882643167947795,0.0153920209174662,0.6985309696920647,44.100932955995596
users1,PACO,0.3078445824319604,0.3074335727898753,0.045079154852766416,0.2206654338051629,0.3974314356067769,14.643478373613991
users2,NSGA-II,0.4203983493320664,0.4109893627375286,0.1352511113583042,0.1745548536980465,0.8066829887117535,32.172131877585315
users2,SPEA2,0.3644891434069712,0.3401089352750313,0.1813390847865775,0.0108497979140768,0.7879890995312769,49.751573693404346
users2,PACO,0.2965926280885981,0.2878835754851563,0.03143003586624052,0.2529053724590751,0.3582428512098536,10.597038796544783
users3,NSGA-II,0.29126711118230336,0.2660164206273776,0.12286493383929,0.1106176857286407,0.5858641326508434,42.18290672797216
users3,SPEA2,0.39341516638682944,0.3901627393447292,0.20669650999776262,0.0478291644827799,0.8850404445568747,52.539029416706875
users3,PACO,0.27278428541589345,0.2714818189005215,0.028662108330728533,0.2188642287054459,0.3340924712871137,10.507243218585556
users4,NSGA-II,0.26278000315415045,0.2229772299566798,0.13525393971569466,0.1057719151557549,0.7566148336326993,51.470407980912
users4,SPEA2,0.22072225966992162,0.230309362738649,0.12862054632191414,0.0443701536157936,0.5900552558340035,58.27257591248808
users4,PACO,0.17718179588957655,0.1776853005613174,0.014997808659891544,0.1512155242853648,0.2020004052254206,8.464644228596992
users5,NSGA-II,0.4847254233234739,0.43131251550953,0.15977513870476198,0.287084350288626,0.9588674372673908,32.96198858505892
users5,SPEA2,0.3354995234065506,0.3396781222397887,0.14223472251857477,0.0265354307599773,0.6796276244181638,42.39491045303752
users5,PACO,0.11895960107601196,0.1180674412583664,0.01897181979994932,0.0859133498357813,0.1621035067511025,15.948119889732013
