cost,minutes
7902.210000000002,3560819.0000000023
8006.630000000001,3584824.9000000022
8042.120000000001,3587487.7900000038
7952.210000000001,3577912.3000000063
7980.180000000001,3582894.7600000002
8045.6100000000015,3589662.6800000025
7906.740000000001,3562614.140000011
8044.100000000001,3588606.680000002
7903.210000000001,3561453.6100000013
7954.670000000002,3580055.1700000046
8051.110000000001,3591261.690000002
7947.660000000002,3575591.7100000074
8033.620000000003,3587329.940000004
8285.440000000002,3526751.32000001
8464.310000000001,3577573.850000008
8321.330000000002,3535319.4300000095
8266.45,3518726.40000001
8296.420000000002,3527750.3200000105
8404.77,3568156.920000008
8321.86,3536353.830000011
8258.460000000001,3512878.5800000103
8437.330000000002,3573681.9800000074
8353.87,3557072.40000001
8333.37,3552994.380000008
8307.41,3535319.1500000097
8379.320000000002,3559070.1900000083
8467.290000000003,3577905.9400000083
8330.400000000001,3539536.9900000105
8502.280000000002,3580419.900000008
8390.810000000001,3562455.000000005
8381.830000000002,3560505.1900000074
8259.460000000001,3514852.2400000105
8331.37,3545578.69000001
8393.790000000003,3562457.330000008
8400.37,3563356.630000005
8321.39,3535796.7600000096
8298.43,3530959.990000012
8458.840000000002,3577017.1700000037
8322.910000000002,3537664.7600000086
8924.190000000002,3409559.249999995
8945.150000000001,3421215.409999994
8716.490000000002,3497966.380000002
8606.050000000001,3480011.700000002
8789.85,3499635.8100000015
8724.93,3498446.140000002
8827.340000000002,3500544.6700000004
8768.410000000002,3499355.000000001
8633.03,3485633.840000003
8667.010000000002,3497057.5200000033
8637.54,3491435.380000001
8893.460000000001,3464836.729999999
8930.920000000002,3489698.930000005
8893.93,3468281.580000005
8882.95,3463132.1399999987
8893.930000000002,3474022.220000006
8974.9,3498593.200000005
8929.930000000002,3484087.410000005
8983.890000000001,3501326.450000003
8920.88,3481381.200000004
9074.79,3512807.5500000077
8865.970000000001,3461395.059999999
8980.390000000001,3498936.920000003
9018.860000000002,3509189.520000006
9018.840000000002,3507883.8800000073
8953.390000000001,3493266.220000006
8988.880000000003,3505354.8800000083
