cost,minutes
2165.9300000000003,908118.0099999995
2122.48,901510.1999999994
2276.8999999999996,878783.1400000001
2257.92,876192.5299999999
2245.44,874636.2199999994
2288.91,880171.8700000006
2258.4300000000003,877226.8299999996
2307.8799999999997,882762.4800000008
2365.66,863393.9000000012
2468.08,881907.0600000008
2408.63,872473.3900000006
2520.5699999999997,887514.3900000005
2436.57,876953.7300000008
2532.5600000000004,887685.7500000003
2503.0699999999997,886245.7800000008
2296.19,847072.7199999989
2401.65,869486.1000000006
2264.71,834373.0099999978
2387.65,866257.3600000006
2403.6200000000003,869657.4600000004
2499.5699999999997,885374.1400000007
2421.6000000000004,873966.4400000004
2395.66,867095.4600000009
2384.6400000000003,866198.9400000013
2293.2000000000003,846593.8399999983
2453.57,880052.2600000008
2483.57,883147.2500000008
2448.6300000000006,879745.1300000005
2271.2000000000003,835985.3799999992
2296.73,850995.9999999992
2459.09,881735.7000000009
2480.1200000000003,882843.6600000004
2319.67,852076.5399999982
2425.63,875235.05
2434.57,875691.1400000005
2446.58,878637.1700000009
2334.69,856958.0999999986
2362.66,860862.4099999992
2344.69,858471.7699999996
2395.6400000000003,866540.0700000001
2277.23,846114.4399999988
2494.58,883175.6700000004
2343.65,857633.6699999992
2397.62,869356.0000000006
2345.66,858512.3400000008
2305.7000000000003,851954.2799999993
2334.67,855193.9299999985
2376.62,865643.5499999999
2349.6900000000005,860075.489999999
2396.62,868589.580000001
2325.72,854396.099999999
2319.6800000000003,853590.2099999991
2340.7100000000005,857513.4899999994
2436.1200000000003,876193.3300000003
2520.05,886417.1400000007
2422.1000000000004,875225.6900000002
2278.46,898157.1799999999
2266.44,894527.4599999996
2306.45,899800.6599999997
2333.43,901643.9599999991
2340.9300000000003,903824.029999999
2274.45,894833.0299999994
2299.4300000000003,898462.7499999998
2375.91,906825.7799999987
2387.89,907131.3499999986
2346.92,904129.5999999988
2363.9299999999994,905467.5099999987
2313.44,901158.9299999997
2404.8999999999996,908469.2599999985
2276.46,896453.2399999995
2401.9100000000003,907782.2599999985
2337.43,902120.0899999986
2403.21,876240.6500000013
2422.6600000000003,877289.3900000015
2220.2599999999998,859250.3299999991
2287.7299999999996,862042.9599999996
2175.8199999999997,856322.2199999988
2323.23,863617.5199999996
2352.7,864120.2799999993
2122.8399999999997,851069.4899999988
2116.33,850614.949999999
2134.83,852088.1599999989
2163.8399999999997,856136.5099999987
2142.7999999999997,852313.0499999988
2202.7799999999997,858584.4499999991
2154.79,853331.7199999986
2162.27,853997.5999999987
2224.2599999999998,859920.3899999999
2251.2400000000002,861089.0299999997
2235.75,860423.1499999997
2175.83,857155.1799999991
2195.7799999999997,857565.7799999991
2182.8199999999997,857340.8899999991
2312.72,863163.3799999994
2197.2799999999997,858081.6899999994
2260.74,861543.5699999994
2289.24,862660.6199999996
2241.26,861040.8099999996
2214.28,859202.109999999
2129.2999999999997,851858.5099999988
2666.07,778629.1999999997
2692.0299999999997,824807.0200000004
2443.14,870534.3499999994
2322.81,900198.3300000014
2306.83,899954.3300000016
2366.78,902486.9200000014
2360.79,901220.9800000015
2300.3500000000004,897358.1500000018
2264.83,888662.4500000016
2238.3399999999997,862739.060000002
2238.34,872911.250000002
2279.34,894755.0000000015
2268.8599999999997,891735.9200000016
2259.33,883382.8600000014
2247.86,883045.8300000015
2273.34,894576.8100000011
2329.8,901220.2700000014
2261.37,885307.7600000021
2301.83,899018.4800000013
2287.37,897113.4400000018
2282.3700000000003,896177.5900000015
2583.04,839221.2500000005
2461.3100000000004,898853.0100000034
2338.82,878980.4000000034
2384.31,890106.0500000032
2349.3,881040.2000000036
2384.2999999999997,887296.8300000038
2418.3300000000004,896620.0700000034
2329.81,876808.9500000033
2418.29,893755.2100000033
2428.32,896635.4600000029
2367.3,887269.3600000035
2397.3,893525.9900000033
2305.84,868204.1000000044
2465.3100000000004,898868.4000000027
2524.29,902297.6900000024
2430.34,896864.6800000028
2296.8500000000004,867167.6700000043
2338.84,879225.0100000028
2356.31,882516.950000004
2538.29,902526.9100000025
2325.81,873765.5600000034
2460.31,897831.9700000029
2507.31,901261.2600000026
2365.83,882881.6900000034
2390.2999999999997,890547.3300000035
2315.84,871802.9600000037
2470.3100000000004,899097.6200000028
2440.31,897671.8900000027
2387.3,890318.1100000035
2342.81,880016.8300000036
2520.33,901490.4800000025
2482.31,900064.7500000026
2492.3,901101.1800000024
2394.2999999999997,892489.5600000034
2481.32,900049.3600000031
2468.7799999999997,923236.5400000028
2504.24,923783.8000000032
2460.8,922104.5300000026
2380.8500000000004,914085.1600000019
2426.79,917527.9100000026
2440.83,919793.7900000021
2407.84,915848.6400000021
2376.84,909255.8100000011
2412.82,916395.9000000024
2501.1800000000003,886948.3099999996
2472.21,885240.5099999997
2463.2200000000003,884286.0599999996
2552.65,890889.6899999994
2461.21,882267.4399999996
2522.6800000000003,890048.5199999994
2615.61,893365.7799999998
2566.64,891844.1399999994
2513.69,889094.0699999994
2589.61,892411.3299999997
2511.6800000000003,887075.4499999994
2426.77,884853.5099999995
2358.33,874188.42
2352.29,862627.3099999994
2476.71,886154.0899999993
2392.7999999999997,880812.3999999998
2351.3,860846.5899999995
2444.75,885135.7699999997
2388.7999999999997,879289.4999999997
2403.79,883770.6499999994
2458.73,885871.8299999994
2411.7799999999997,884052.9099999995
2244.92,904636.7499999994
2403.3,921636.56
2205.91,897343.8199999993
2272.9300000000003,909308.8199999989
2388.28,921482.4100000003
2332.36,917118.9799999994
2209.93,897355.7199999997
2232.4199999999996,904055.62
2341.32,919505.1799999997
2246.37,906532.5299999993
2369.82,920055.9600000003
2338.8500000000004,918121.5399999998
2264.89,908206.7399999993
2241.4,904146.3299999989
2382.28,921439.6000000002
2303.3700000000003,915465.8299999991
2216.4199999999996,901169.1999999997
2274.39,912488.7
2229.37,901976.0799999996
2328.35,916132.0399999996
2320.8300000000004,915966.0699999987
2362.34,919702.1399999995
2335.8500000000004,917400.2499999997
2289.34,913091.5499999989
2225.39,840473.0300000032
2181.96,830702.0700000029
2297.35,847591.2900000027
2287.84,845050.4100000035
2350.28,849289.7500000026
2200.47,835381.1400000026
2222.89,838691.7800000029
2319.32,848729.5500000034
2327.3100000000004,849107.2000000026
2271.36,844886.7600000029
2241.4,843370.850000003
2166.97,827162.2300000024
2215.38,835976.5100000032
2170.97,827344.7800000025
2192.89,832254.1200000028
2218.88,836933.1900000032
2205.88,835793.9600000031
2189.98,831841.3000000028
2289.3599999999997,847213.6400000035
2197.39,832436.6700000028
2270.38,895778.8899999998
2226.4,892056.9599999996
2256.37,894508.5699999995
2292.3700000000003,897412.2899999995
2258.8900000000003,894732.2999999995
2145.45,885638.2299999997
2207.9,891828.5799999995
2227.9,892821.8599999995
2249.87,893461.9799999992
2174.92,888234.3499999997
2142.45,883730.71
2231.9,893098.8999999998
2161.45,887324.9399999997
2177.92,890141.8699999995
2251.3900000000003,893743.6699999996
2372.7599999999998,882923.38
2429.18,894403.6599999998
2401.7400000000002,889227.0199999993
2413.18,889742.669999999
2414.71,890975.6399999994
2342.7799999999997,875943.14
2400.69,885079.74
2454.1500000000005,898803.7799999994
2438.1499999999996,895623.3899999995
2441.65,896554.3399999992
2495.6000000000004,903846.4399999995
2492.62,901963.7799999996
2330.7999999999997,871828.6999999993
2393.72,883197.0800000001
2523.6000000000004,904101.6299999994
2391.73,883149.5000000002
2457.1800000000003,899449.8099999999
2463.12,900023.5099999995
2423.67,892154.2199999992
2492.0800000000004,901916.2399999996
2351.77,879412.3100000004
2335.8,872172.8799999997
2394.74,884783.8999999998
2401.73,888564.0899999994
2366.7599999999998,879454.2099999996
2472.1400000000003,900669.54
2487.1400000000003,901188.5899999999
2493.6000000000004,903183.5099999995
2428.12,893464.6800000002
2369.7499999999995,881448.4600000001
2466.6299999999997,900377.2699999991
2462.1400000000003,899714.3399999992
2463.17,900360.3699999996
2212.41,953614.8699999982
2128.0,934259.8699999984
2284.4,956741.3899999975
2254.4,954835.8699999972
2131.52,941899.2299999987
2195.95,953012.5699999987
2305.8799999999997,956846.5299999974
2281.87,955730.6699999983
2162.49,947376.829999999
2184.45,951027.9599999982
2143.02,943883.8399999992
2233.42,954730.7299999973
2263.39,955625.5299999984
2216.41,953720.0099999981
2175.49,949361.4399999995
2255.42,955023.2299999988
2129.03,939135.1699999991
2159.48,944486.1399999987
2096.56,933657.5699999988
1943.65,910507.1800000004
1963.62,915097.8400000008
1923.6599999999999,907810.8599999996
2061.4900000000002,922002.8600000006
2010.0299999999997,918337.6200000006
1997.0799999999997,916467.7000000011
2002.5699999999997,917009.120000001
1960.62,913267.1100000005
1961.12,914636.9700000006
2035.0399999999997,919463.4600000016
2044.5199999999998,919542.4900000007
2046.5099999999998,919581.0600000011
1982.5999999999997,916162.7500000008
2019.0599999999997,918621.5200000006
2383.79,868070.070000001
2498.21,875672.200000002
2144.87,899211.6800000025
2060.93,895736.1800000018
2037.9599999999998,893812.890000002
2045.4599999999998,895093.3500000027
2074.41,897016.6400000025
2118.38,898413.6200000026
2110.89,897814.7000000024
2109.89,897133.1600000019
2072.41,896227.0400000025
2090.42,897025.1000000025
2124.4,898422.0800000026
2428.3500000000004,913694.2799999998
2370.41,911657.2499999999
2389.77,881081.4000000015
2392.8100000000004,882787.3200000012
2498.74,843902.8900000027
2575.6900000000005,859096.2700000003
2522.2200000000003,846889.7700000027
2494.73,841213.1600000032
2493.2500000000005,837292.8000000014
2522.2000000000003,844200.0400000032
2592.1700000000005,861518.630000002
2569.1600000000003,855251.7700000016
2589.1600000000003,859360.7600000018
2572.1700000000005,857409.6400000019
2523.7300000000005,848011.8800000028
2530.2400000000002,849047.6400000029
2538.22,852000.4000000001
2540.7100000000005,854987.2800000001
2210.89,913871.9999999994
2124.4399999999996,907669.1599999995
2166.43,911811.68
2095.45,903133.02
2054.95,896262.6699999997
2159.44,910952.3799999998
2153.4399999999996,909310.3099999995
2074.44,898700.1699999996
2183.45,911949.8599999999
2136.42,909172.1299999997
2154.45,910308.7099999998
2205.33,913107.5799999994
2267.84,915345.0499999993
2202.39,912295.3700000001
2247.32,914580.6299999993
2108.45,906058.5799999997
2146.91,909295.6299999999
2046.3299999999997,935339.8499999989
1989.3999999999996,931380.3099999991
2033.3199999999997,935058.239999999
1989.8999999999999,931749.0599999989
1971.4099999999996,931262.1499999999
1932.4499999999998,925286.9799999996
2005.3899999999996,933790.2099999989
2056.33,936492.7599999985
2056.3199999999997,935937.2799999986
2133.2799999999997,937472.8399999995
2080.29,937205.3099999988
1957.4399999999998,929411.1599999992
2118.27,937448.1899999987
2164.27,937540.0299999993
2090.2799999999997,937380.9999999988
2039.3499999999997,935233.9299999988
2009.3599999999997,934345.6899999989
2050.83,935392.8399999989
2341.71,893572.1499999994
2321.69,886201.7499999988
