cost,minutes
1325.8799999999997,493515.3999999997
1241.9299999999998,513928.7699999992
1234.4699999999998,511926.7399999992
1208.46,511892.00999999937
1239.44,512445.8199999993
1225.04,511356.27999999834
1195.08,509840.69999999844
1171.0800000000002,508376.0699999983
1103.62,500401.9599999984
1036.6799999999998,488124.8399999985
1005.71,485863.7999999986
1031.68,487088.6499999988
1026.7,486125.7799999986
1048.6799999999998,495465.6899999985
1171.0500000000002,506340.49999999854
1096.63,500059.9799999985
1084.13,498397.4499999985
1048.67,495203.70999999857
1103.6200000000001,502611.5999999983
1151.08,506299.40999999834
1139.0900000000001,504834.7799999982
1075.1399999999999,498135.4699999985
1046.6599999999999,490890.1699999982
1127.62,504076.2299999984
985.73,485795.2799999986
1037.68,490720.06999999855
1142.0900000000001,506037.42999999836
1058.67,497648.9499999984
1047.7,491111.3899999986
1345.4299999999998,500608.54999999946
1268.4899999999998,494051.1199999996
1344.9399999999998,500136.60999999935
1331.5,498999.8099999992
1388.4399999999998,500975.9899999991
1218.03,489738.0899999993
1267.9999999999998,493579.1799999994
1284.9899999999998,496295.51999999926
1256.5499999999997,492442.3799999993
1294.4799999999998,496767.4599999994
1247.06,491970.43999999913
1322.0099999999998,498527.86999999906
1227.5199999999998,490210.0299999995
1095.1699999999998,502663.85999999876
1046.24,499538.5899999989
1138.1299999999997,504460.9599999988
1103.6599999999999,503621.53999999876
1142.6299999999997,504461.6199999989
1093.2099999999998,501335.68999999895
1146.62,505418.6399999988
1066.21,500496.2699999989
1362.0299999999997,512916.9499999987
1304.9499999999998,507688.2799999989
1394.4999999999995,517411.7799999987
1201.5199999999998,499591.70999999903
1226.4999999999998,501200.6499999991
1375.04,516472.3499999986
1450.0199999999998,518264.5599999987
1178.4599999999998,492310.6699999992
1251.9499999999998,501684.6399999991
1194.4699999999998,493537.10999999946
1361.4599999999996,512779.1499999991
1321.01,510456.5499999987
1340.9999999999995,511839.719999999
1430.4699999999998,517711.2299999987
1275.9799999999998,506079.33999999886
1509.4399999999998,520763.0599999987
1295.9999999999998,506220.24999999866
1132.5199999999998,489265.67999999906
1155.5099999999998,490874.6199999991
1150.4799999999998,490701.72999999917
1478.45,520463.6099999987
1312.03,510230.7799999989
1222.9799999999998,500075.699999999
1360.9699999999998,512065.48999999877
1365.0499999999995,514607.98999999877
1452.0,519524.1799999986
1328.0,511255.65999999846
1372.0399999999995,515407.0999999985
1188.0900000000001,502510.9499999998
1146.12,495568.81999999983
1241.54,505207.16
1256.5100000000002,505438.54
1217.04,504523.24
1212.55,503165.4900000001
1198.0700000000002,502742.3299999998
1148.61,501827.0299999998
1179.5600000000002,502058.4099999998
1130.17,508850.5899999996
1193.59,511366.83999999956
1100.2,505686.88999999955
1284.58,492987.3699999991
1312.0499999999997,498301.60999999935
1265.05,487455.5399999994
1278.5500000000002,490872.5699999988
1293.58,493865.31999999925
1281.56,492059.46999999916
1255.56,481780.94999999925
1307.06,496495.75999999925
1260.52,485340.73999999906
1197.68,493365.0699999996
1258.14,495984.70999999985
1265.63,498271.9299999999
1202.17,495652.28999999963
1262.63,498199.6
1059.77,513820.9899999996
1098.75,516255.8499999998
1087.74,515201.36999999976
1226.68,519515.6999999995
1109.74,517674.1599999997
1089.76,515239.2999999995
1098.72,515266.2199999998
1233.68,520382.27999999956
1142.71,517864.4599999999
1086.7,513847.90999999986
1159.1799999999998,518041.39999999997
1272.6499999999999,520572.5799999998
1222.67,519205.75999999966
1109.2,516674.57999999984
1187.71,519150.8599999995
1139.71,517851.09999999974
1225.6799999999998,519341.15999999974
1438.2999999999995,478525.54999999923
1173.07,504540.09999999945
1105.0899999999997,498321.5
1122.08,500173.68000000005
1142.08,503413.9399999998
1130.08,501561.75999999983
1182.07,506392.27999999945
1160.58,504023.3999999998
1219.5399999999997,507001.7399999994
1207.04,525616.6900000005
1156.5500000000002,519007.98000000016
1370.06,526140.549999999
1297.12,519784.07999999897
1264.12,514891.28999999905
1266.6200000000003,516081.13999999885
1292.16,517933.75999999885
1263.11,513680.579999999
1306.12,521388.3299999989
1240.1600000000003,513170.5299999991
1269.1299999999999,517685.3899999988
1376.04,527139.5799999994
1382.0299999999997,527874.3599999994
1366.05,524536.2999999989
1340.0499999999997,524171.4199999988
1333.0700000000002,522450.65999999887
1348.09,524419.7899999989
1339.0499999999997,523436.63999999885
1337.54,522567.1699999989
1269.1299999999997,517583.679999999
1373.03,526270.1099999992
1260.1099999999997,513287.0399999991
1299.9399999999996,489808.0600000001
1385.2899999999997,490334.75999999983
1242.4999999999998,489051.20999999996
1235.9899999999998,486219.7699999999
1209.0299999999997,483774.46999999986
1335.4299999999996,495415.7699999997
1265.4699999999998,492462.2999999999
1332.4299999999998,494449.9799999998
1241.5,486812.6399999997
1245.9799999999998,489424.1300000001
1255.4699999999998,491496.51
1396.8199999999997,493395.6699999986
1380.3599999999997,487466.4699999988
1191.19,531751.619999999
1185.1399999999999,530992.0299999987
1095.24,517769.0399999979
1065.7799999999997,514343.38999999774
1149.7399999999998,527443.2099999988
1054.27,505756.7799999979
1228.1100000000001,535177.2699999989
1176.67,530868.8599999988
1137.21,522796.7399999981
1217.6399999999999,534952.3599999988
1138.19,525508.5299999978
1173.1799999999998,527759.0899999986
1107.77,522082.8799999979
1101.27,518803.7799999988
1158.21,527566.3799999988
1093.7399999999998,514466.5599999977
1323.65,538506.3699999995
1212.75,519143.02999999956
1226.71,522879.9799999993
1288.7000000000003,536347.9399999995
1400.6000000000001,540960.9099999996
1228.74,524022.61999999924
1205.2,518000.3899999996
1480.5400000000004,545108.8600000001
1265.2100000000003,533665.5299999997
1255.72,529221.5699999994
1236.72,524341.9799999997
1245.72,528785.9400000001
1310.6800000000003,537823.2199999997
1340.6600000000003,540505.6299999998
1410.5800000000004,542654.3199999998
1242.67,525881.7499999998
1431.5900000000004,543186.4900000001
1368.6300000000003,540731.95
1310.18,536574.2599999997
1261.02,515195.95999999973
1249.05,515176.8599999997
1229.5000000000002,510827.3299999994
1217.53,510808.22999999934
1130.05,514143.61000000034
1125.55,513766.63000000006
1106.11,512858.3600000006
1074.5900000000001,510139.0100000003
1267.12,508674.0300000004
1319.61,517301.08999999944
1289.61,511662.06999999983
1296.1,512210.15999999974
1286.61,509420.1599999999
1299.11,514452.06999999966
1414.02,497317.9899999997
1385.01,489295.7999999997
1394.51,491527.66
1370.5299999999997,486870.03999999986
1429.9699999999998,500308.6099999997
1399.54,494892.22999999986
1395.9699999999998,492286.4199999997
1467.9599999999998,501310.8499999998
1494.3199999999997,481627.5500000005
1117.75,493470.3099999998
1157.82,509480.8899999994
1129.75,503708.14000000013
1176.75,510073.0699999995
1100.74,492820.35999999987
1253.6700000000003,512254.689999999
1197.7300000000002,510723.01999999944
1117.8199999999997,498593.1099999991
1181.8,510130.8399999993
1211.7000000000003,512119.48999999906
1137.8,503870.66999999963
1205.7600000000002,511527.30999999895
1128.8,503115.96
1157.74,504939.2699999997
1105.79,492982.8899999994
1141.76,504358.0900000001
1274.98,509121.1999999987
1282.03,509285.5299999988
1266.01,508938.9799999989
1350.9899999999998,515019.88999999897
1292.9899999999998,514499.6699999988
1298.0,514846.2199999988
1290.98,511860.62999999867
1165.67,520149.4899999993
1167.66,520364.29999999964
1150.6899999999998,514397.4699999994
1246.21,528477.7899999999
1202.68,524686.5099999995
1245.71,528236.6899999997
1261.19,529255.9099999998
1178.2,524065.10999999935
1206.17,524927.6099999996
1149.1899999999998,511830.0299999994
1169.7,520985.6999999998
1155.6899999999998,516293.28999999975
1317.15,529395.3199999998
