cost,minutes
7563.25,3637473.9899999956
8277.460000000001,3540157.3800000064
8407.35,3540999.900000003
8343.680000000002,3512677.3099999963
8362.140000000001,3520522.7199999965
8525.550000000001,3551351.6299999934
8544.560000000001,3555971.6499999943
8415.150000000001,3539408.169999994
8428.640000000001,3543401.549999995
8580.57,3557053.299999994
8515.060000000001,3550712.849999994
8515.090000000002,3550905.8799999934
8402.12,3535329.8499999954
8346.15,3517929.4299999964
8456.630000000003,3548338.849999994
8468.6,3549505.9799999935
8507.080000000002,3550118.4999999925
8372.220000000001,3533051.8499999945
8405.170000000002,3537654.3599999957
8527.03,3553306.1599999936
8501.560000000001,3549692.169999995
8547.450000000004,3470629.8699999847
8588.400000000003,3476638.509999985
8688.830000000002,3495928.809999984
8622.870000000003,3485396.4599999837
8597.910000000002,3482603.7199999834
8633.360000000002,3487170.8599999845
8749.770000000002,3502579.219999984
8645.380000000001,3491165.9199999846
8562.950000000003,3476595.0799999842
8590.960000000001,3481269.369999984
8630.900000000001,3487127.4299999843
8715.340000000002,3499217.3799999827
8679.860000000002,3494342.929999984
8638.350000000002,3488181.369999985
8668.86,3493136.0699999835
8741.300000000001,3501187.5299999816
8660.36,3492176.4299999853
8704.380000000003,3497206.0299999826
8732.780000000002,3500267.1299999836
8745.780000000002,3501277.6399999843
9496.410000000002,3272986.400000021
9267.07,3256326.7200000114
8027.7800000000025,3467427.7599999867
8018.830000000002,3462595.1499999864
8021.76,3464450.4499999867
8016.800000000001,3459617.8399999854
8007.810000000001,3455485.7599999853
8059.780000000001,3472978.489999988
8032.840000000002,3468027.859999987
8014.830000000002,3458463.0699999854
8006.850000000001,3454934.779999985
7994.830000000002,3450653.1499999855
8074.830000000003,3475070.819999987
7991.790000000001,3448563.7999999863
8125.790000000002,3484725.0699999873
8111.770000000001,3480883.929999987
8121.760000000001,3482131.7299999874
8089.790000000002,3478599.1099999878
7992.790000000001,3449868.1199999857
8016.760000000001,3458832.809999985
8049.800000000002,3471556.1499999864
8081.770000000001,3477824.7199999876
8081.760000000001,3476511.1099999878
8116.840000000002,3481196.7799999877
8043.780000000001,3468578.8399999873
8148.770000000001,3491207.8799999845
7997.860000000002,3453630.4599999855
8065.770000000001,3474470.7199999862
8118.2800000000025,3481747.759999988
8130.930000000001,3545752.5500000026
8213.850000000002,3553613.2700000065
8128.890000000001,3542582.9900000026
8101.380000000002,3538707.830000002
8014.060000000001,3514524.2800000035
8049.450000000002,3530767.0299999984
8135.390000000001,3534933.5800000103
8062.400000000002,3519020.920000007
8110.42,3529551.5400000126
8135.420000000002,3536202.560000011
8080.969999999999,3524007.910000011
8281.820000000002,3559310.8800000143
8030.910000000002,3510401.0800000047
8063.4400000000005,3520606.4100000095
7985.470000000001,3429241.670000001
8003.950000000003,3499395.46000001
8071.920000000002,3520931.2800000072
8158.9000000000015,3541591.9700000114
8073.390000000001,3523460.6400000076
8258.78,3555711.040000013
8161.870000000001,3544485.7000000123
8117.910000000001,3533390.910000011
8206.330000000002,3547592.4200000134
8239.81,3554219.160000013
8193.79,3545130.9100000095
8041.4400000000005,3517322.550000009
8113.380000000002,3530281.0400000107
8141.9000000000015,3540031.990000011
8109.390000000001,3527384.8300000136
8001.4000000000015,3491760.72000001
8093.380000000001,3526476.5700000096
8209.920000000002,3551460.630000018
8336.650000000001,3527734.26000002
8312.680000000002,3520785.700000021
8277.220000000001,3511759.82000002
8313.68,3524307.3300000182
8293.690000000002,3516753.6900000176
8297.210000000001,3519313.46000002
8323.170000000002,3526366.2100000205
8317.17,3525779.5700000194
8338.660000000002,3528339.340000022
8380.110000000002,3537208.040000023
8342.150000000001,3531908.660000022
8343.150000000001,3533333.2100000223
8340.140000000003,3531360.080000023
8334.17,3526615.220000021
8367.110000000002,3536959.030000022
8397.080000000002,3540833.8600000236
8459.890000000001,3475704.169999994
8434.86,3473452.269999992
8413.430000000002,3460812.4599999925
8487.36,3484703.7199999904
8454.32,3474971.579999993
8421.870000000003,3464116.7399999932
8427.87,3471768.5999999926
8422.420000000002,3468464.319999992
8460.35,3479008.449999994
8440.84,3474539.669999994
8524.29,3493564.179999994
8495.810000000001,3488007.9999999907
8517.340000000002,3490259.899999994
8501.79,3489095.399999993
8471.35,3481536.0399999907
8476.880000000001,3483020.049999991
8488.820000000002,3486324.3299999917
8149.600000000001,3621921.3200000045
8147.600000000001,3619311.5400000047
8140.630000000001,3617325.130000004
8158.050000000001,3633950.1100000027
8151.050000000001,3629859.370000002
8167.060000000001,3635344.450000004
8017.140000000002,3586265.0500000063
8082.59,3594401.3400000036
7880.290000000002,3550477.6900000023
7932.150000000002,3574810.3300000043
8021.120000000001,3586523.0300000007
7915.700000000002,3566326.0900000045
7973.660000000001,3581245.260000003
